Name,,ID,,ExpDens,ExpStdDens,CalDens,CalDens2,CalDens3,AvgDens,CalStdDens,,ExpCpt,ExpStdCpt,CalCpt,CalCpt2,CalCpt3,AvgCpt,CalStdCpt
1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide,,16,,1479.4,0,1441.1322,1437.158,1434.885,1437.725067,3.161969388,,586,0,524.729,505.9,526.27,518.9663333,11.34197824
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,17,,1435.924783,1.43,1418.0972,1418.5332,1418.133,1418.254467,0.242052914,,563.12,18.66,534.17,510.105,528.412,524.229,12.56599272
1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,18,,1400.425,5.8,1383.0922,1382.4382,1381.8868,1382.4724,0.603427311,,595.6,0,564.854,587.843,569.644,574.1136667,12.12876623
1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide,,19,,1407.05,0,1365.971,1370.395,1368.001,1368.122333,2.214494374,,633,0,622.474,630.032,598.703,617.0696667,16.34875146
1-butyl-3-methylimidazolium dicyanamide,,20,,1060.3675,1.58,1036.842,1037.3326,1037.169,1037.114533,0.249794022,,373.3,5.53,379.579,384.888,388.046,384.171,4.278795274
1-hexyl-3-methylimidazolium dicyanamide,,22,,1028.625,0.19,1004.1023,1003.44806,1003.686,1003.745453,0.331147276,,534,0,433.576,448.08,455.011,445.5556667,10.93818999
1-butyl-1-methylpyrrolidinium dicyanamide,,24,,1013.545714,0.46,1029.52616,1029.79386,1030.64,1029.986673,0.581414329,,502,0,418.29,410.342,428.708,419.1133333,9.210640441
1-butyl-3-methylimidazolium trifluoromethanesulfonate,,25,,1298.500588,2.6,1278.7046,1277.5136,1278.349,1278.189067,0.611395333,,428.871429,12.89,424.666,425.875,419.986,423.509,3.110316222
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,26,,1384.668182,1.18,1366.9314,1366.6592,1366.571,1366.720533,0.187865306,,363.15,0.1,360.324,348.991,354.909,354.7413333,5.66836011
1-butylpyridinium trifluoromethanesulfonate,,27,,1314.33,0,1271.6056,1272.1376,1271.281,1271.674733,0.432464395,,470,0,418.333,423.572,437.361,426.422,9.828940482
1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,28,,1252.508889,0.35,1272.6548,1270.4744,1271.43,1271.519733,1.09296619,,435,0,472.367,505.906,459.123,479.132,24.11402478
1-ethyl-3-methylimidazolium methanesulfonate,,29,,1239.7825,3.73,1228.3982,1229.4306,1228.634,1228.820933,0.540990289,,346,0,338.214,341.84,343.13,341.0613333,2.548824304
1-ethyl-3-methylimidazolium methylsulfate,,30,,1287.845,24.16,1265.4994,1265.2976,1265.063,1265.286667,0.218405342,,341,0,354.847,352.146,353.677,353.5566667,1.354514796
1-methylpyridinium methylsulfate,,31,,1345.46,0,1307.363,1308.32,1307.385,1307.689333,0.546284114,,299,0,342.488,327.198,320.896,330.194,11.10340614
1-butyl-3-methylimidazolium tricyanomethane,,33,,1046.855,0.45,1039.418,1040.42712,1039.694,1039.846373,0.521530458,,298.15,0,452.156,422.848,416.533,430.5123333,19.00805188
1-ethyl-3-methylimidazolium thiocyanate,,34,,1116.53125,0.84,1109.6954,1109.1068,1109.307,1109.369733,0.299272607,,281.4,0,282.692,290.674,300.223,291.1963333,8.777164367
2-octylisoquinolinium thiocyanate,,35,,1061.7,0,1023.15636,1024.09974,1024.072,1023.776033,0.536832057,,522,0,544.492,540.688,609.54,564.9066667,38.70036741
1-butyl-3-methylimidazolium acetate,,36,,1056.2025,12.99,1011.12606,1011.36012,1010.888,1011.124727,0.236062824,,382.1,0,387.907,381.657,390.138,386.5673333,4.396347385
1-ethyl-3-methylimidazolium acetate,,37,,1098.621429,19.16,1061.496,1061.384,1061.186,1061.355333,0.156975582,,321.9,0,313.981,327.63,321.216,320.9423333,6.828614086
1-butyl-3-methylimidazolium chloride,,38,,1077.7475,3.59,1054.5935,1055.73464,1055.358,1055.228713,0.581451981,,323,0,309.607,315.211,311.215,312.011,2.88555298
1-benzyl-3-methyl-1H-imidazolium chloride,,39,,1192.8,0,1190.4962,1189.354,1191.992,1190.614067,1.322943844,,338.4,0,324.501,322.983,339.913,329.1323333,9.367131969
1-butyl-3-methylimidazolium bromide,,40,,1273.3,49.11,1301.076,1302.6896,1303.6488,1302.471467,1.300196744,,278.8,34.15,296.381,331.375,309.209,312.3216667,17.7034327
"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,43,,1355.1,0,1322.938,1317.2132,1318.2844,1319.478533,3.043484775,,709,0,650.741,707.241,646.682,668.2213333,33.85291214
"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,44,,1416.44,4.71,1373.5056,1374.0392,1373.613,1373.719267,0.282226316,,578,0,539.127,562.251,544.506,548.628,12.10053747
"3-cyano-1-hexylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,45,,1408.9,0,1367.163,1372.3996,1372.456,1370.672867,3.039764506,,658,0,672.029,601.455,614.806,629.43,37.49091091
