,IUPAC,SMILES
0,tetradecyl(trihexyl)phosphonium dicyanamide,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC.C(#N)[N-]C#N
1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
2,trihexyl(tetradecyl)phosphonium chloride,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC.[Cl-]
3,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",C[n+]1cc[nH]c1.CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-]
4,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
5,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](c1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
6,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
7,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
8,1-hexyl-3-methylimidazolium tetrafluoroborate,CCCCCCn1cc[n+](c1)C.[B-](F)(F)(F)F
9,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
10,1-ethylpyridinium trifluoroacetate,CC[n+]1ccccc1.C(=O)(C(F)(F)F)[O-]
11,1-ethyl-3-methylimidazolium tetrafluoroborate,CCn1cc[n+](c1)C.[B-](F)(F)(F)F
12,1-ethylpyridinium tetrafluoroborate,CC[n+]1ccccc1.[B-](F)(F)(F)F
13,3-hexyl-1-methyl-1H-imidazolium bromide,CCCCCC[n+]1cc[n](c1)C.[Br-]
14,1-hexyl-3-methylimidazolium chloride,CCCCCCn1cc[n+](c1)C.[Cl-]
15,1-benzyl-3-methyl-1H-imidazolium chloride,C[NH+]1CN(C=C1)CC2=CC=CC=C2.[Cl-]
16,1-octanaminium dihydrogen phosphate,QUERY NOT FOUND
17,1-nonylammonium dihydrogen phosphate,QUERY NOT FOUND
18,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
19,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](c1)C.F[P-](F)(F)(F)(F)F
20,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](c1)C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
21,2-aminoethanol-2-hydroxypropanoate,SPACING ERROR
22,tetrabutylammonium thiocyanate,CCCC[N+](CCCC)(CCCC)CCCC.C(#N)[S-]
23,2-azido-1H-imidazol-1-ium perchlorate,QUERY NOT FOUND
24,"3-azido-5-methyl-1H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
25,"3-azido-1-methyl-1H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
26,"3-azido-1-methyl-1H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
27,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate",QUERY NOT FOUND
28,2-azido-1H-imidazol-1-ium nitrate,QUERY NOT FOUND
29,"1-amino-1H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
30,"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
31,"1-amino-1H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
32,"1-amino-4-methyl-4H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
33,"4-amino-1,2,4-triazolium nitrate",QUERY NOT FOUND
34,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
35,"1-(2-azidoethyl)-4-methyl-4H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
36,"1-(2-azidoethyl)-4-methyl-1,2,4-triazolium nitrate",QUERY NOT FOUND
37,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
38,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
39,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
40,"3-azido-1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
41,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium perchlorate",QUERY NOT FOUND
42,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate",QUERY NOT FOUND
43,1-allyl-3-methylimizodalium formate,QUERY NOT FOUND
