,cpt,P,T,Name
0,482.3,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium hexafluorophosphate"
1,715.0,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
2,444.4,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium cyanocyanamide"
3,338.9,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium tetrafluoroborate"
4,281.5,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium chloride"
5,434.6,101.325,298.1,1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide
6,602.0,101.325,298.1,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
7,354.2,101.325,298.1,1-butyronitrile-3-methylimidazolium hexafluorophosphate
8,431.4,101.325,298.1,1-butyronitrile-3-methylimidazolium tetrafluoroborate
9,289.6,101.325,298.1,3-(3-cyanopropyl)-1-methylimidazolium chloride
10,456.2,101.325,298.1,butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide
11,326.6,101.325,298.1,Butyronitriletrimethylammonium hexafluorophosphate
12,288.9,101.325,298.1,Butyronitriletrimethylammonium tetrafluoroborate
13,422.2,101.325,298.1,N-butyronitrilepyridinium dicyanamide
14,632.0,101.325,298.1,N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide
15,420.7,101.325,298.1,N-butyronitrile pyridinium hexafluorophosphate
16,414.2,101.325,298.1,N-butyronitrile pyridinium tetrafluoroborate
17,222.8,101.325,298.1,N-butyronitrile pyridinium chloride
18,432.0,101.325,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
19,498.0,101.325,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
20,325.9,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
