,P,Density,T,Name
0,101.325,899.1,298.15,tetradecyl(trihexyl)phosphonium dicyanamide
1,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
2,101.325,891.8,298.15,trihexyl(tetradecyl)phosphonium chloride
3,101.325,886.4,298.15,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
4,101.325,1367.0,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
5,101.325,1436.0,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
6,101.325,1102.0,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
7,101.325,1144.5,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
8,101.0,1146.7,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
9,101.325,1370.0,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
13,101.325,1229.2,298.15,3-hexyl-1-methyl-1H-imidazolium bromide
14,101.325,1044.3,298.15,1-hexyl-3-methylimidazolium chloride
15,101.325,1192.8,298.15,1-benzyl-3-methyl-1H-imidazolium chloride
16,101.325,0.00013000000000000002,298.0,1-octanaminium dihydrogen phosphate
17,101.325,0.00013000000000000002,298.0,1-nonylammonium dihydrogen phosphate
18,101.325,1366.7,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
19,101.325,1366.1,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
20,101.325,1370.8,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
21,101.325,1202.0,298.2,2-aminoethanol-2-hydroxypropanoate
23,101.325,1760.0,298.1,2-azido-1H-imidazol-1-ium perchlorate
24,101.325,1610.0,298.1,"3-azido-5-methyl-1H-1,2,4-triazol-1-ium nitrate"
25,101.325,1660.0,298.1,"3-azido-1-methyl-1H-1,2,4-triazol-1-ium perchlorate"
26,101.325,1630.0,298.1,"3-azido-1-methyl-1H-1,2,4-triazol-1-ium nitrate"
27,101.325,1660.0,298.1,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate"
28,101.325,1640.0,298.1,2-azido-1H-imidazol-1-ium nitrate
34,101.325,1450.0,298.1,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium nitrate"
35,101.325,1600.0,298.1,"1-(2-azidoethyl)-4-methyl-4H-1,2,4-triazol-1-ium perchlorate"
36,101.325,1490.0,298.1,"1-(2-azidoethyl)-4-methyl-1,2,4-triazolium nitrate"
37,101.325,1590.0,298.1,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium perchlorate"
38,101.325,1630.0,298.1,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium perchlorate"
39,101.325,1570.0,298.1,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium nitrate"
40,101.325,1580.0,298.1,"3-azido-1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate"
41,101.325,1610.0,298.1,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium perchlorate"
42,101.325,1600.0,298.1,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate"
43,101.325,1130.0,298.15,1-allyl-3-methylimizodalium formate
44,101.325,1111.0,298.15,1-allyl-3-methylimizodalium acetate
45,101.325,1086.0,298.15,1-allyl-3-methyl-1H-imidazol-3-ium propionate
46,101.325,1148.0,298.15,1-allyl-3-methylimizodalium lactate
47,101.325,1189.0,298.15,1-allyl-3-methylimizodalium glycollate
48,101.325,1149.0,298.15,1-allyl-3-methylimizodalium benzoate
49,101.325,1062.0,298.15,1-allyl-3-methylimizodalium butanoate
50,101.3,1220.0,298.15,1-butylpyridinium tetrafluoroborate
51,101.0,1166.0,298.15,1-allyl-3-methylimidazolium chloride
52,101.325,1379.2,298.15,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide
53,101.325,1409.8,298.15,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide
54,101.325,1060.1,298.1,1-butyl-3-methylimidazolium octyl sulfate
55,101.3,1367.9,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
56,101.325,1211.0,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
57,101.325,1800.0,298.15,ammonium dinitramide
58,101.325,1143.9,298.0,1-hexyl-3-methylimidazolium tetrafluoroborate
61,101.3,1279.0,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
62,101.3,1228.0,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
63,101.325,1263.1,298.15,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1)
64,101.325,1297.4,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
65,101.325,1252.01,298.15,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
66,101.325,1383.6,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
67,101.325,1383.6,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
74,101.0,1021.4,298.15,diethylammonium acetate
75,101.0,1015.9,298.15,triethylammonium acetate
76,101.0,1142.9,298.15,triethylammonium hydrogen sulfate
77,101.0,1053.8,298.15,trimethylammonium acetate
78,101.0,1467.6,298.15,trimethylammonium hydrogen sulfate
82,101.325,1186.1,298.15,1-ethyl-3-methylimidazolium lactate
83,101.325,1106.0,298.15,1-pentyl-3-methylimidazolium lactate
